ID,Question Type,Question,Question Likelihood,Question Rater Name + Email,Location,Relevant Data,Answer,Answer Review Completed,Comments
1,Actions,What is the city's 2040 goal regarding public spaces?,1 - Low,andrea.segundo@cdp.net,"Miami, United States","{
    ""description"": ""Ensure all critical public infrastructure (hospitals, shelters, utilities) is resilient to a Category 4 hurricane storm surge and wind loads by 2040."",
    ""hazardsAddressed"": [
        {
            ""hazardType"": ""TROPICAL_CYCLONE"",
            ""otherHazardDetails"": """"
        },
        {
            ""hazardType"": ""EXTREME_WIND"",
            ""otherHazardDetails"": """"
        }
    ],
    ""targetYear"": 2040
}","By **2040**, the city's goal is to ensure all **critical public infrastructure**, including **hospitals, shelters, and utilities**, is resilient to a **Category 4 hurricane's storm surge and wind loads**.",No,
2,Actions,Is the city tracking progress on their adaptation goals?,1 - Low,andrea.segundo@cdp.net,"Miami, United States","{
    ""goals"": [
        {
            ""description"": ""Ensure all critical public infrastructure (hospitals, shelters, utilities) is resilient to a Category 4 hurricane storm surge and wind loads by 2040."",
            ""hazardsAddressed"": [
                {
                    ""hazardType"": ""TROPICAL_CYCLONE"",
                    ""otherHazardDetails"": """"
                },
                {
                    ""hazardType"": ""EXTREME_WIND"",
                    ""otherHazardDetails"": """"
                }
            ],
            ""targetYear"": 2040
        },
        {
            ""description"": ""Reduce the impact of urban heat islands by increasing tree canopy coverage by 30% and implementing cool pavement standards for 50% of public surfaces by 2035."",
            ""hazardsAddressed"": [
                {
                    ""hazardType"": ""EXTREME_HEAT"",
                    ""otherHazardDetails"": """"
                },
                {
                    ""hazardType"": ""HEAT_STRESS"",
                    ""otherHazardDetails"": """"
                }
            ],
            ""targetYear"": 2035
        }
    ],
    ""actions"": [
        {
            ""title"": ""Miami Forever Bond - Seawall and Stormwater Pump Station Upgrades"",
            ""status"": {
                ""statusType"": ""IMPLEMENTATION_UNDERWAY_COMPLETION_GT_ONE_YEAR"",
                ""otherStatusDetails"": """"
            },
            ""coBenefits"": [
                ""Creation of local engineering and construction jobs"",
                ""Protection of high-value real estate"",
                ""Improved water quality in Biscayne Bay""
            ],
            ""hazardsAddressed"": [
                {
                    ""hazardType"": ""COASTAL_FLOODING"",
                    ""otherHazardDetails"": """"
                },
                {
                    ""hazardType"": ""HEAVY_PRECIPITATION"",
                    ""otherHazardDetails"": """"
                }
            ]
        },
        {
            ""title"": ""Resilient Neighborhoods Program: Cooling Centers and Green Infrastructure"",
            ""status"": {
                ""statusType"": ""ACTION_IN_OPERATION_TARGETED"",
                ""otherStatusDetails"": ""Currently active in Little Haiti and Allapattah, with plans for city-wide expansion.""
            },
            ""coBenefits"": [
                ""Enhanced public health outcomes for vulnerable groups"",
                ""Improved neighborhood aesthetics and social cohesion"",
                ""Reduced stormwater runoff""
            ],
            ""hazardsAddressed"": [
                {
                    ""hazardType"": ""EXTREME_HEAT"",
                    ""otherHazardDetails"": """"
                },
                {
                    ""hazardType"": ""URBAN_FLOODING"",
                    ""otherHazardDetails"": """"
                }
            ]
        }
    ],
    ""projects"": [
        {
            ""title"": ""Virginia Key Wastewater Treatment Plant Flood Protection and Hardening"",
            ""status"": ""PROJECT_FEASIBILITY"",
            ""fundedPercent"": 35.0,
            ""totalAmount"": 275000000
        },
        {
            ""title"": ""Biscayne Bay Mangrove Restoration and Living Shoreline Project"",
            ""status"": ""PROJECT_STRUCTURING"",
            ""fundedPercent"": 60.0,
            ""totalAmount"": 85000000
        }
    ]
}","Yes, the city is tracking progress on its adaptation efforts.\n\nThe data shows **goals** with specific **target years** (**2035** and **2040**), the **status of actions** (e.g., **'Implementation underway'** or **'Action in operation'**), and the **status and funding percentage** of related projects.",No,
3,Actions,Are there actions that approach more than one hazard?,1 - Low,andrea.segundo@cdp.net,"Miami, United States","{
    ""actions"": [
        {
            ""title"": ""Miami Forever Bond - Seawall and Stormwater Pump Station Upgrades"",
            ""status"": {
                ""statusType"": ""IMPLEMENTATION_UNDERWAY_COMPLETION_GT_ONE_YEAR"",
                ""otherStatusDetails"": """"
            },
            ""coBenefits"": [
                ""Creation of local engineering and construction jobs"",
                ""Protection of high-value real estate"",
                ""Improved water quality in Biscayne Bay""
            ],
            ""hazardsAddressed"": [
                {
                    ""hazardType"": ""COASTAL_FLOODING"",
                    ""otherHazardDetails"": """"
                },
                {
                    ""hazardType"": ""HEAVY_PRECIPITATION"",
                    ""otherHazardDetails"": """"
                }
            ]
        },
        {
            ""title"": ""Resilient Neighborhoods Program: Cooling Centers and Green Infrastructure"",
            ""status"": {
                ""statusType"": ""ACTION_IN_OPERATION_TARGETED"",
                ""otherStatusDetails"": ""Currently active in Little Haiti and Allapattah, with plans for city-wide expansion.""
            },
            ""coBenefits"": [
                ""Enhanced public health outcomes for vulnerable groups"",
                ""Improved neighborhood aesthetics and social cohesion"",
                ""Reduced stormwater runoff""
            ],
            ""hazardsAddressed"": [
                {
                    ""hazardType"": ""EXTREME_HEAT"",
                    ""otherHazardDetails"": """"
                },
                {
                    ""hazardType"": ""URBAN_FLOODING"",
                    ""otherHazardDetails"": """"
                }
            ]
        },
        {
            ""title"": ""Public Climate Risk Information Campaign"",
            ""status"": {
                ""statusType"": ""OTHERS"",
                ""otherStatusDetails"": ""Phase 2 of the digital and community outreach program is underway.""
            },
            ""coBenefits"": [
                ""Increased citizen preparedness"",
                ""Greater public support for adaptation investments""
            ],
            ""hazardsAddressed"": [
                {
                    ""hazardType"": ""TROPICAL_CYCLONE"",
                    ""otherHazardDetails"": """"
                },
                {
                    ""hazardType"": ""COASTAL_FLOODING"",
                    ""otherHazardDetails"": """"
                }
            ]
        }
    ]
}","Yes, several actions address more than one hazard.\n\nThe **'Miami Forever Bond'** addresses **Coastal Flooding** and **Heavy Precipitation**.\n\nThe **'Resilient Neighborhoods Program'** targets **Extreme Heat** and **Urban Flooding**.\n\nThe **'Public Climate Risk Information Campaign'** is designed to address **Tropical Cyclones** and **Coastal Flooding**.",No,
4,Actions,What hazards does the green cover goal address?,1 - Low,andrea.segundo@cdp.net,"Reykjavik, Iceland",{},"I can only provide information regarding climate hazards based on the **available data** and **information disclosed** by **Reykjavik, Iceland**.",No,
5,Actions,How is the city attempting to reduce personal exposure to hazards through monitoring?,1 - Low,andrea.segundo@cdp.net,"Helsinki, Finland",{},"I can only provide information regarding climate hazards based on the **available data** and **information disclosed** by **Helsinki, Finland**.",No,
6,Actions,List the climate hazards addressed by the city's green cover expansion goal.,1 - Low,andrea.segundo@cdp.net,"Phoenix, United States","{
    ""description"": ""Achieve carbon neutrality by 2060 and ensure 80% of the population lives within a 10-minute walk of a cool public space by 2030."",
    ""hazardsAddressed"": [
        {
            ""hazardType"": ""EXTREME_HEAT"",
            ""otherHazardDetails"": """"
        }
    ]
}","I can only provide information regarding climate hazards and specific **available data** and **information disclosed** for Phoenix, United States.",Yes,
7,Actions,Identify actions the city is taking to mitigate heat.,1 - Low,andrea.segundo@cdp.net,"Phoenix, United States","{
    ""actions"": [
        {
            ""title"": ""Expansion of the HeatRelief Network of Cooling Centers and Hydration Stations"",
            ""status"": {
                ""statusType"": ""ACTION_IN_OPERATION_MOST_OF_JURISDICTION"",
                ""otherStatusDetails"": """"
            },
            ""coBenefits"": [
                ""Improved public health outcomes"",
                ""Enhanced community resilience"",
                ""Reduced burden on emergency services""
            ],
            ""hazardsAddressed"": [
                {
                    ""hazardType"": ""EXTREME_HEAT"",
                    ""otherHazardDetails"": """"
                }
            ]
        },
        {
            ""title"": ""Cool Pavement Program Implementation"",
            ""status"": {
                ""statusType"": ""IMPLEMENTATION_UNDERWAY_COMPLETION_GT_ONE_YEAR"",
                ""otherStatusDetails"": ""Program is being rolled out neighborhood by neighborhood based on heat vulnerability index.""
            },
            ""coBenefits"": [
                ""Reduced urban heat island effect"",
                ""Improved air quality"",
                ""Increased pavement longevity""
            ],
            ""hazardsAddressed"": [
                {
                    ""hazardType"": ""EXTREME_HEAT"",
                    ""otherHazardDetails"": """"
                }
            ]
        }
    ],
    ""projects"": [
        {
            ""title"": ""Tree and Shade Master Plan - Phase 2 Planting Initiative"",
            ""status"": ""IMPLEMENTATION"",
            ""fundedPercent"": 75.0,
            ""totalAmount"": 15000000
        }
    ]
}","To mitigate **extreme heat**, **Phoenix** is expanding its **HeatRelief Network** of cooling centers and hydration stations, implementing a **Cool Pavement Program**, and undertaking the **'Tree and Shade Master Plan - Phase 2 Planting Initiative'**.",No,
8,Actions,Are there any infrastructure rehabilitation planned?,1 - Low,andrea.segundo@cdp.net,"Mumbai, India","{
    ""projects"": [
        {
            ""title"": ""Rehabilitation and Upgrade of the 'Britannia' Stormwater Pumping Station"",
            ""status"": ""IMPLEMENTATION"",
            ""fundedPercent"": 85,
            ""totalAmount"": 4500000000
        },
        {
            ""title"": ""Mithi River Rejuvenation and Floodplain Restoration"",
            ""status"": ""PROJECT_FEASIBILITY"",
            ""fundedPercent"": 20,
            ""totalAmount"": 15000000000
        }
    ]
}","Yes, planned infrastructure projects include the **'Rehabilitation and Upgrade of the Britannia Stormwater Pumping Station'**, which is in **implementation**, and the **'Mithi River Rejuvenation and Floodplain Restoration'**, which is in the **project feasibility stage**.",Yes,
9,Actions,What is the city's target for meeting water demand through conservation?,1 - Low,andrea.segundo@cdp.net,"Cape Town, South Africa","""governmentActions"": {
                ""goals"": [
                    {
                        ""description"": ""Ensure a safe, reliable, and resilient drinking water supply for all residents by diversifying water sources to include at least 300 million litres per day from non-surface water sources, such as desalination, groundwater, and water reuse, reducing reliance on rain-fed dams."",
                        ""hazardsAddressed"": [
                            {
                                ""hazardType"": ""DROUGHT"",
                                ""otherHazardDetails"": """"
                            },
                            {
                                ""hazardType"": ""WATER_STRESS"",
                                ""otherHazardDetails"": """"
                            },
                            {
                                ""hazardType"": ""INCREASED_WATER_DEMAND"",
                                ""otherHazardDetails"": """"
                            }
                        ],
                        ""targetYear"": 2030
                    },
                    {
                        ""description"": ""Reduce the public health impacts of extreme heat events by establishing a city-wide network of 100 public cooling centers and implementing an early warning system for heatwaves."",
                        ""hazardsAddressed"": [
                            {
                                ""hazardType"": ""EXTREME_HEAT"",
                                ""otherHazardDetails"": """"
                            },
                            {
                                ""hazardType"": ""HEAT_STRESS"",
                                ""otherHazardDetails"": """"
                            }
                        ],
                        ""targetYear"": 2028
                    }
                ],
                ""actions"": [
                    {
                        ""title"": ""Water Demand Management and Conservation Program"",
                        ""status"": {
                            ""statusType"": ""ACTION_IN_OPERATION_JURISDICTION_WIDE"",
                            ""otherStatusDetails"": ""Program includes tiered water tariffs, leak detection and repair, and public awareness campaigns. Continuously operational since the 2018 drought.""
                        },
                        ""coBenefits"": [
                            ""Reduced energy consumption from water treatment and pumping"",
                            ""Increased public awareness of resource scarcity"",
                            ""Deferred need for new, expensive supply infrastructure""
                        ],
                        ""hazardsAddressed"": [
                            {
                                ""hazardType"": ""DROUGHT"",
                                ""otherHazardDetails"": """"
                            },
                            {
                                ""hazardType"": ""WATER_STRESS"",
                                ""otherHazardDetails"": """"
                            }
                        ]
                    },
                    {
                        ""title"": ""Urban Greening Initiative for Heat Island Mitigation"",
                        ""status"": {
                            ""statusType"": ""IMPLEMENTATION_UNDERWAY_COMPLETION_GT_ONE_YEAR"",
                            ""otherStatusDetails"": ""Focus on planting indigenous, drought-tolerant trees in priority neighborhoods identified through thermal mapping.""
                        },
                        ""coBenefits"": [
                            ""Improved air quality"",
                            ""Enhanced biodiversity"",
                            ""Increased property values"",
                            ""Improved mental well-being and recreational opportunities""
                        ],
                        ""hazardsAddressed"": [
                            {
                                ""hazardType"": ""EXTREME_HEAT"",
                                ""otherHazardDetails"": """"
                            },
                            {
                                ""hazardType"": ""LOSS_OF_GREEN_SPACE"",
                                ""otherHazardDetails"": """"
                            },
                            {
                                ""hazardType"": ""URBAN_FLOODING"",
                                ""otherHazardDetails"": ""Green spaces improve stormwater absorption.""
                            }
                        ]
                    }
                ],
                ""projects"": [
                    {
                        ""title"": ""Cape Flats Aquifer Recharge and Abstraction Project"",
                        ""status"": ""IMPLEMENTATION"",
                        ""fundedPercent"": 85,
                        ""totalAmount"": 2500000000
                    },
                    {
                        ""title"": ""Seawall and Coastal Defence Upgrade for Table Bay"",
                        ""status"": ""PROJECT_FEASIBILITY"",
                        ""fundedPercent"": 20,
                        ""totalAmount"": 4000000000
                    }
                ]
            }","There is no specific target for meeting water demand specifically through conservation.\n\nThe city outlines a goal to diversify water sources to include at least **300 million litres per day** from non-surface water sources by **2030**, and describes a **Water Demand Management and Conservation Program** that is currently in operation.",No,
10,Actions,Are early warning systems in place for reported hazards?,1 - Low,andrea.segundo@cdp.net,"Miami, United States","{
    ""actions"": [
        {
            ""title"": ""Public Climate Risk Information Campaign"",
            ""status"": {
                ""statusType"": ""OTHERS"",
                ""otherStatusDetails"": ""Phase 2 of the digital and community outreach program is underway.""
            },
            ""coBenefits"": [
                ""Increased citizen preparedness"",
                ""Greater public support for adaptation investments""
            ],
            ""hazardsAddressed"": [
                {
                    ""hazardType"": ""TROPICAL_CYCLONE"",
                    ""otherHazardDetails"": """"
                },
                {
                    ""hazardType"": ""COASTAL_FLOODING"",
                    ""otherHazardDetails"": """"
                }
            ]
        }
    ]
}","The available data does not explicitly mention 'early warning systems.'\n\nHowever, **'Public Climate Risk Information Campaign'** is currently underway to increase citizen preparedness for **tropical cyclones** and **coastal flooding**.",Yes,
